meeting_id,second,composite_score,threshold,rank_within_meeting,valid_metric_count,entropy_shift,pct_det_shift,rmse_shift,entropy_shift_z,pct_det_shift_z,rmse_shift_z,top_contributors
2025.01.13startup_a,1482,2.37791514622519,2.2615999855635107,10,3,0.759288807529864,0.8255691972627659,-0.21320169193662353,2.121923752727061,3.5025753539018583,-1.5092463320466505,pct_det:increase; entropy:increase; rmse:decrease
2025.01.13startup_a,4351,2.36494104063819,2.2615999855635107,11,3,0.9360980796682631,-0.31577154080444814,0.44343889418793325,2.616038496066137,-1.3396982590343036,3.1390863668141304,rmse:increase; entropy:increase; pct_det:decrease
2025.01.13startup_a,1744,2.2908310862140913,2.2615999855635107,12,3,0.615196461831421,-0.5140359780880317,-0.4198913440020173,1.7192403891748338,-2.180858677672927,-2.9723941917945136,rmse:decrease; pct_det:decrease; entropy:increase
2025.01.13startup_b,2342,3.1484497079922833,2.097426967987062,1,3,-1.1833626384651783,0.628779706764135,0.42302074234671305,-3.6399051991254834,2.3891061422296453,3.4163377826217225,entropy:decrease; rmse:increase; pct_det:increase
2025.01.13startup_b,4610,2.9344853465958978,2.097426967987062,2,3,-0.43635274781864664,1.2296994224401203,-0.3453324329784149,-1.3421774389444863,4.672355694122272,-2.7889229067209347,pct_det:increase; rmse:decrease; entropy:decrease
2025.01.13startup_b,320,2.894769278552827,2.097426967987062,3,3,-0.5529059470733099,0.9115611295616617,-0.4358644599149266,-1.7006834303893401,3.4635600834848383,-3.5200643217843033,rmse:decrease; pct_det:increase; entropy:decrease
2025.01.13startup_b,3937,2.4269148150722004,2.097426967987062,4,3,0.3735801720556735,-0.8286163359409926,-0.36939400630088215,1.149095270000492,-3.1484037357634493,-2.9832454394526597,pct_det:decrease; rmse:decrease; entropy:increase
2025.01.13startup_b,1011,2.390307459125879,2.097426967987062,5,3,0.029842463724737422,-0.6548690984044185,0.5684577564348615,0.09179243567066678,-2.488235177636345,4.590894764070625,rmse:increase; pct_det:decrease; entropy:increase
2025.01.13startup_b,4795,2.3735621522076165,2.097426967987062,6,3,0.48946196909233886,0.8742505113871175,-0.2839698420351576,1.5055360953292647,3.3217949691017403,-2.2933553921918444,pct_det:increase; rmse:decrease; entropy:increase
2025.01.13startup_b,3194,2.3441631396036,2.097426967987062,7,3,0.38327231513128845,0.7290801914423639,-0.38179234261304784,1.1789073333738591,2.770207029290009,-3.083375056146931,rmse:decrease; pct_det:increase; entropy:increase
2025.01.13startup_b,2898,2.2563103743079402,2.097426967987062,8,3,-0.48012093520504556,-0.44346475836462673,-0.44664668114988065,-1.4768040087259013,-1.684985006153744,-3.607142108044176,rmse:decrease; pct_det:decrease; entropy:decrease
2025.01.13startup_b,4286,2.1417461402058464,2.097426967987062,9,3,0.11480297130837902,-0.8374979231222,0.3578438556591202,0.3531224652169199,-3.1821501405203225,2.8899658148802962,pct_det:decrease; rmse:increase; entropy:increase
2025.01.13startup_b,1875,2.13671135053663,2.097426967987062,10,3,0.4991922962452766,0.9892071236899227,-0.1381968810303179,1.5354656091079881,3.758583156742101,-1.1160852857598007,pct_det:increase; entropy:increase; rmse:decrease
2025.02.10startup_b,2846,4.121987214895609,2.316219019089773,1,3,-0.3156829121154622,-1.6145813016710946,-0.6614052354056758,-1.0735277433837247,-5.635271147711597,-5.657162753591504,rmse:decrease; pct_det:decrease; entropy:decrease
2025.02.10startup_b,2184,3.8298184642264395,2.316219019089773,2,3,-0.07285192123770579,1.5176460933173814,-0.6950303921207636,-0.24774403556844432,5.296944311975474,-5.944767045135399,rmse:decrease; pct_det:increase; entropy:decrease
2025.02.10startup_b,840,3.695635771985876,2.316219019089773,3,3,-0.4312783280132497,1.1035951600022003,-0.6744188352135501,-1.4666275318476212,3.8518084889734734,-5.768471295136533,rmse:decrease; pct_det:increase; entropy:decrease
2025.02.10startup_b,3139,3.5822921171325963,2.316219019089773,4,3,-0.587648719092118,1.51941919168749,-0.4028124563965765,-1.9983888233980796,5.303132845235946,-3.4453546827637638,pct_det:increase; rmse:decrease; entropy:decrease
2025.02.10startup_b,335,3.3131721795967657,2.316219019089773,5,3,-0.0981219588275084,1.4386131016419625,-0.5360229997790478,-0.33367864079370435,5.021100452490134,-4.58473744550646,pct_det:increase; rmse:decrease; entropy:decrease
